STATION_NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WT07
EL PASO INTERNATIONAL AIRPORT TX US,20140127,0,0,55,61,41,7.2,280,320,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140128,0,0,43,50,25,5.8,100,110,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140129,0,0,34,55,21,4,160,190,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140130,0,0,55,73,38,14.5,250,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140131,0,0,64,71,57,23.5,250,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140201,0,0,61,66,53,14.5,250,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140202,0,0,52,57,39,7.6,360,170,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140203,0,0,45,61,36,8.1,260,270,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140204,0,0,49,54,38,12.3,260,270,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140205,0,0,42,46,27,8.7,80,80,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140206,0,0,29,42,20,6,70,90,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140207,0,0,43,59,34,10.1,260,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140208,0,0,56,67,46,12.8,270,280,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140209,0,0,59,74,47,13.6,280,270,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140210,0,0,66,75,53,11.4,250,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140211,0,0,52,62,33,4.7,90,210,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140212,0,0,47,66,31,6,150,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140213,0,0,58,76,41,9.2,280,280,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140214,0,0,68,80,58,8.7,280,280,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140215,0,0,67,83,46,6.3,240,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140216,0,0,68,82,50,9.6,280,280,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140217,0,0,67,74,49,5.8,160,140,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140218,0,0,62,80,44,6.7,300,220,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140219,0,0,64,77,49,13.4,260,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140220,0,0,65,67,46,13.4,280,270,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140221,0,0,52,70,38,6.7,250,240,-9999
